Games Played,Date,Home,Opponent,Goals,Goals Against,Result,Shots on Goal,Penalties in Minutes,Power Play Goals,Power Play Opportunities,SHG,Opponent Shots on Goal,Opponent Penalties in Minutes,Opponent Power Play Goals,Opponent Power Play Opportunities,Oponent SHG,CF = Shots + Blocks + Misses,CA = Shots + Blocks + Misses Against,CF / (CF + CA),FF = Shots + Misses,FA = Shots + Misses Against,FF / (FF + FA),Faceoff Wins,Faceoff Losses,Faceoff Win Percentage,Offensive Zone Faceoffs / (Offensive Zone Faceoffs + Defensive Zone Faceoffs),Shooting % + Save %
37,2015-01-04,1.0,Colorado Avalanche,4,3,W,27,8,0,,0,29,4,0.0,,0.0,48,44,52.2,36,34,51.4,22,30,42.3,49.8,103.8
38,2015-01-06,1.0,Dallas Stars,4,2,W,20,15,1,,0,26,15,0.0,,0.0,28,37,43.1,23,26,46.9,16,19,45.7,44.4,108.9
39,2015-01-09,1.0,Toronto Maple Leafs,2,5,L,20,6,1,,0,32,4,2.0,,0.0,48,42,53.3,36,31,53.7,23,28,45.1,54.8,92.2
40,2015-01-10,,New York Islanders,2,5,L,18,14,1,,0,40,8,0.0,,0.0,33,46,41.8,22,40,35.5,20,16,55.6,47.8,89.9
41,2015-01-14,,Montreal Canadiens,2,3,L,16,16,1,,0,31,6,3.0,,0.0,33,49,40.2,26,35,42.6,19,29,39.6,36.2,107.7
42,2015-01-16,,New York Rangers,1,2,L,36,14,0,,0,26,18,0.0,,0.0,54,31,63.5,37,20,64.9,21,21,50.0,62.5,92.1
43,2015-01-17,1.0,Boston Bruins,3,1,W,31,4,1,,0,35,6,0.0,,0.0,43,56,43.4,31,42,42.5,24,32,42.9,44.2,105.7
44,2015-01-19,1.0,Minnesota Wild,3,1,W,23,8,1,,0,26,4,1.0,,0.0,38,51,42.7,26,40,39.4,22,25,46.8,42.3,110.0
45,2015-01-21,1.0,Winnipeg Jets,0,4,L,29,8,0,,0,29,8,0.0,,0.0,43,47,47.8,29,40,42.0,20,29,40.8,59.7,85.2
46,2015-01-27,,Washington Capitals,4,3,W,30,6,0,,0,28,10,0.0,,0.0,34,39,46.6,28,32,46.7,21,19,52.5,36.4,105.4
47,2015-01-29,1.0,Florida Panthers,2,3,L,33,8,0,,0,31,16,0.0,,0.0,46,40,53.5,40,34,54.1,17,18,48.6,77.8,94.9
48,2015-01-31,1.0,Tampa Bay Lightning,1,3,L,35,12,0,,0,34,10,0.0,,0.0,40,54,42.6,33,38,46.5,20,22,47.6,46.7,93.8
49,2015-02-03,,Arizona Coyotes,1,4,L,31,11,1,,0,29,11,2.0,,0.0,53,44,54.6,39,29,57.4,35,32,52.2,63.8,91.7
50,2015-02-06,,St. Louis Blues,7,1,W,33,13,0,,1,33,5,1.0,,0.0,43,55,43.9,37,44,45.7,24,29,45.3,52.9,120.0
51,2015-02-07,1.0,Ottawa Senators,4,1,W,33,11,0,,0,35,7,0.0,,0.0,49,52,48.5,38,40,48.7,22,23,48.9,40.6,108.7
52,2015-02-09,,Los Angeles Kings,3,4,L,26,7,0,,0,44,7,0.0,,0.0,44,62,41.5,34,53,39.1,34,23,59.6,36.6,102.4
53,2015-02-13,,Philadelphia Flyers,4,3,W,33,6,0,,0,25,2,1.0,,0.0,60,42,58.8,41,30,57.7,16,25,39.0,50.3,103.3
54,2015-02-14,1.0,New York Islanders,3,6,L,37,15,0,,0,46,15,0.0,,0.0,49,58,45.8,34,43,44.2,22,23,48.9,46.4,94.9
55,2015-02-17,1.0,Philadelphia Flyers,5,2,W,25,4,1,,0,44,2,0.0,,0.0,35,71,33.0,31,53,36.9,21,30,41.2,18.8,111.8
56,2015-02-19,1.0,Pittsburgh Penguins,2,1,W,30,11,0,,1,30,15,0.0,,0.0,37,48,43.5,27,35,43.5,22,20,52.4,47.5,101.6
57,2015-02-21,1.0,Montreal Canadiens,1,3,L,32,16,0,,0,24,18,1.0,,1.0,53,42,55.8,33,24,57.9,23,21,52.3,64.3,98.6
58,2015-02-22,1.0,New York Rangers,3,4,L,30,8,0,,0,37,6,0.0,,0.0,44,45,49.4,33,35,48.5,25,26,49.0,45.3,99.5
